ownerType,ownerName,vin,unitNumber,description,make,model,year,trim,licensePlate,licensePlateJurisdiction
ORGANIZATION,Piedmont Ready Mix,1FT89D3E060001660,001,2015 Ford F-350 Super Duty,Ford,F-350 Super Duty,2015,,,
ORGANIZATION,SE Delivery,1FT94HT6A10002085,001,2020 Ford Transit 250,Ford,Transit 250,2020,,,
ORGANIZATION,Cabarrus Cleaning,1FTAE9V4XJ000199V,002,2016 Ford F-150,Ford,F-150,2016,,,
ORGANIZATION,Carolina Power,1FTCZ0K3230001755,003,2013 Ford F-350 Super Duty,Ford,F-350 Super Duty,2013,,,
ORGANIZATION,Carolina Power,1FTE3W4PPN0001764,004,2020 Ford Transit 250,Ford,Transit 250,2020,,,
ORGANIZATION,QC Waste,1FTFM62J1Z000103T,001,2024 Ford F-150,Ford,F-150,2024,,,
ORGANIZATION,Piedmont Metals,1FTFN4X3UW000273Z,001,2023 Ford F-350 Super Duty,Ford,F-350 Super Duty,2023,,,
ORGANIZATION,QC Waste,1FTFRY3LLU000102V,002,2013 Ford F-350 Super Duty,Ford,F-350 Super Duty,2013,,,
ORGANIZATION,Piedmont Freight,1FTJRR84EP000076L,002,2017 Ford F-150,Ford,F-150,2017,,,
ORGANIZATION,Blue Ridge Landscaping,1FTKC6YADH0001257,002,2021 Ford F-250 Super Duty,Ford,F-250 Super Duty,2021,,,
ORGANIZATION,QC Waste,1FTKFH431T000117J,003,2012 Ford F-350 Super Duty,Ford,F-350 Super Duty,2012,,,
ORGANIZATION,Meck Plumbing,1FTKSL5A240001470,003,2015 Ford Transit 250,Ford,Transit 250,2015,,,
INDIVIDUAL,Raymond Bailey,1FTMM7HZW8000040P,00040P,2015 Ford F-150,Ford,F-150,2015,,,
ORGANIZATION,Carolina Concrete,1FTSXAA1J1000099Z,001,2021 Ford F-350 Super Duty,Ford,F-350 Super Duty,2021,,,
ORGANIZATION,Blue Stone Aggregate,1FTT4MB19R000196L,002,2023 Ford F-150,Ford,F-150,2023,,,
INDIVIDUAL,Gloria Turner,1FTTKNS7S30000451,000451,2016 Ford F-150,Ford,F-150,2016,,,
INDIVIDUAL,Walter Hughes,1FTVHFAJ8M000032R,00032R,2009 Ford F-150,Ford,F-150,2009,,,
INDIVIDUAL,Wanda Sanchez,1FTW8C71FT000053J,00053J,2016 Ford F-150,Ford,F-150,2016,,,
ORGANIZATION,Carolina Power,1FTY111M62000172R,005,2013 Ford Transit 250,Ford,Transit 250,2013,,,
ORGANIZATION,SE Delivery,1FTY1BA7GX000217C,002,2022 Ford Transit 250,Ford,Transit 250,2022,,,
ORGANIZATION,Piedmont Metals,1FUKHPGBTG000284C,002,2012 Freightliner Cascadia,Freightliner,Cascadia,2012,,,
ORGANIZATION,Tarheel Logistics,1FUS14YYF70001436,003,2013 Freightliner Cascadia,Freightliner,Cascadia,2013,,,
ORGANIZATION,Meck Tree,1G11PJBEV4000313M,002,2012 Chevrolet Malibu,Chevrolet,Malibu,2012,,,
INDIVIDUAL,Patricia Simmons,1G15RCX4X4000008Y,00008Y,2014 Chevrolet Malibu,Chevrolet,Malibu,2014,,,
INDIVIDUAL,Cheryl Hawkins,1G1C90W8820000173,000173,2019 Chevrolet Malibu,Chevrolet,Malibu,2019,,,
INDIVIDUAL,Brenda Coleman,1G1CXGU922000023X,00023X,2009 Chevrolet Malibu,Chevrolet,Malibu,2009,,,
ORGANIZATION,Highland Moving,1G1MJAFKW80003234,001,2016 Chevrolet Malibu,Chevrolet,Malibu,2016,,,
INDIVIDUAL,James Caldwell,1G1MM2N6CR0000135,000135,2010 Chevrolet Malibu,Chevrolet,Malibu,2010,,,
INDIVIDUAL,Michael Owens,1G1UVRB033000015P,00015P,2023 Chevrolet Malibu,Chevrolet,Malibu,2023,,,
INDIVIDUAL,Doris Wood,1G1V3XU72T000064W,00064W,2021 Chevrolet Malibu,Chevrolet,Malibu,2021,,,
ORGANIZATION,Meck Plumbing,1GC0ZN0K62000152R,004,2017 Chevrolet Express 2500,Chevrolet,Express 2500,2017,,,
ORGANIZATION,SE Delivery,1GC2FF139T000211A,003,2015 Chevrolet Express 2500,Chevrolet,Express 2500,2015,,,
ORGANIZATION,Piedmont Ready Mix,1GC2TDZ6YB0001620,002,2014 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2014,,,
INDIVIDUAL,Timothy Dixon,1GC3ZJ4K6W000029Y,00029Y,2014 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2014,,,
INDIVIDUAL,Sandra Reeves,1GC4P07YAZ000030M,00030M,2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,,,
ORGANIZATION,Piedmont Metals,1GC6XH1NL1000277G,003,2015 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2015,,,
INDIVIDUAL,Gary Alexander,1GC7K2SWVA000026C,00026C,2018 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2018,,,
ORGANIZATION,Tarheel Logistics,1GC9L4Z11V000134Y,004,2015 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2015,,,
ORGANIZATION,Blue Stone Aggregate,1GCAGP2SFR0001854,003,2012 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2012,,,
ORGANIZATION,Blue Ridge Landscaping,1GCD1HP31H0001214,003,2018 Chevrolet Silverado 2500HD,Chevrolet,Silverado 2500HD,2018,,,
ORGANIZATION,Piedmont Freight,1GCDR8DXWB000083F,003,2023 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2023,,,
ORGANIZATION,Carolinas Crane,1GCE1JLS1K000232W,003,2013 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2013,,,
ORGANIZATION,Carolina Fresh,1GCGR9WJ3D000267G,001,2024 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2024,,,
ORGANIZATION,Rowan Road Services,1GCGRXRJF80002483,002,2020 Chevrolet Silverado 2500HD,Chevrolet,Silverado 2500HD,2020,,,
INDIVIDUAL,Jennifer Holloway,1GCGVRFVFT000003M,00003M,2018 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2018,,,
ORGANIZATION,SE Delivery,1GCHLCKY260002141,004,2020 Chevrolet Express 2500,Chevrolet,Express 2500,2020,,,
ORGANIZATION,SE Delivery,1GCJHT4NEZ000223Z,005,2018 Chevrolet Express 2500,Chevrolet,Express 2500,2018,,,
ORGANIZATION,Piedmont Ready Mix,1GCJZT7GZF000169N,003,2018 Chevrolet Silverado 2500HD,Chevrolet,Silverado 2500HD,2018,,,
ORGANIZATION,Meck Plumbing,1GCKDECNDL000154K,005,2016 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2016,,,
INDIVIDUAL,Betty Crawford,1GCL4X0UTA000066B,00066B,2016 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2016,,,
ORGANIZATION,Union Grading,1GCLFTU06Z000285P,002,2018 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2018,,,
INDIVIDUAL,Ronald Jenkins,1GCMNN236U0000180,000180,2017 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2017,,,
INDIVIDUAL,Doris Wood,1GCNGUBAM10000630,000630,2017 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2017,,,
INDIVIDUAL,Marcus Patterson,1GCR5XW2HA000001K,00001K,2015 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2015,,,
ORGANIZATION,Piedmont Metals,1GCTE2T380000278A,004,2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,,,
ORGANIZATION,QC Waste,1GCUGT4YYE000113B,004,2018 Chevrolet Silverado 2500HD,Chevrolet,Silverado 2500HD,2018,,,
ORGANIZATION,Meck Tree,1GCW7RBJD8000312U,003,2016 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2016,,,
ORGANIZATION,Carolina Fresh,1GCZ5BG7TD0002727,002,2015 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2015,,,
ORGANIZATION,Blue Ridge Landscaping,1GCZ96G40C000118F,004,2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,,,
ORGANIZATION,Cabarrus Cleaning,1GCZP77JEZ000203A,003,2024 Chevrolet Express 2500,Chevrolet,Express 2500,2024,,,
INDIVIDUAL,Pamela Lewis,1GN2BSTRZW000033K,00033K,2010 Chevrolet Tahoe,Chevrolet,Tahoe,2010,,,
ORGANIZATION,Carolina Concrete,1GT8LNJTGD000088R,002,2024 GMC Sierra 3500HD,GMC,Sierra 3500HD,2024,,,
ORGANIZATION,Rowan Road Services,1GTJ3XPKG4000245Z,003,2023 GMC Sierra 3500HD,GMC,Sierra 3500HD,2023,,,
ORGANIZATION,Carolina Septic,1GTSZTT18C000306C,001,2018 GMC Sierra 3500HD,GMC,Sierra 3500HD,2018,,,
ORGANIZATION,Carolina Power,1GTZA156YH000173X,006,2012 GMC Sierra 3500HD,GMC,Sierra 3500HD,2012,,,
INDIVIDUAL,Ronald Jenkins,1HG9SZVHGY000019W,00019W,2022 Honda Accord,Honda,Accord,2022,,,
ORGANIZATION,Piedmont Freight,1HGEDYLES70000860,004,2020 Honda Accord,Honda,Accord,2020,,,
ORGANIZATION,Carolina Power,1HT2V298DK000181J,007,2023 International 4300 Bucket,International,4300 Bucket,2023,,,
ORGANIZATION,Meck Tree,1HT5LG8570000308V,004,2015 International Durastar Chipper,International,Durastar Chipper,2015,,,
ORGANIZATION,Carolina Power,1HTSU99ZAB0001802,008,2019 International 4300 Bucket,International,4300 Bucket,2019,,,
ORGANIZATION,Highland Moving,1M10JNJ32V000321A,002,2017 Mack Anthem,Mack,Anthem,2017,,,
ORGANIZATION,Piedmont Metals,1M14JXA04N0002828,005,2018 Mack Anthem,Mack,Anthem,2018,,,
ORGANIZATION,Tarheel Logistics,1M14YWD5DW000131Y,005,2021 Mack Anthem,Mack,Anthem,2021,,,
ORGANIZATION,Piedmont Freight,1M15PUHSTF000084B,005,2012 Mack Anthem,Mack,Anthem,2012,,,
ORGANIZATION,Tarheel Logistics,1M1E8KH5TM0001303,006,2012 Mack Anthem,Mack,Anthem,2012,,,
ORGANIZATION,Tarheel Logistics,1M1MDLUL790001391,007,2018 Mack Anthem,Mack,Anthem,2018,,,
ORGANIZATION,Carolina Fresh,1M1PWEP5KE0002707,003,2019 Mack Anthem,Mack,Anthem,2019,,,
ORGANIZATION,Tarheel Logistics,1M1WFYWGGZ0001356,008,2020 Mack Anthem,Mack,Anthem,2020,,,
ORGANIZATION,Piedmont Ready Mix,1M21AHB1HP0001675,004,2018 Mack TerraPro Mixer,Mack,TerraPro Mixer,2018,,,
ORGANIZATION,QC Waste,1M222WNXGM000115F,005,2016 Mack LR Refuse,Mack,LR Refuse,2016,,,
ORGANIZATION,Rowan Road Services,1M22D148EJ0002463,004,2016 Mack Granite Dump,Mack,Granite Dump,2016,,,
ORGANIZATION,QC Waste,1M26BWX1XG0001169,006,2014 Mack Granite Dump,Mack,Granite Dump,2014,,,
ORGANIZATION,Union Grading,1M29FZAX9J0002969,003,2015 Mack Granite Heavy Haul,Mack,Granite Heavy Haul,2015,,,
ORGANIZATION,Piedmont Ready Mix,1M2A23H9B20001612,005,2016 Mack TerraPro Mixer,Mack,TerraPro Mixer,2016,,,
ORGANIZATION,Piedmont Ready Mix,1M2BUF6RU30001716,006,2022 Mack Granite Dump,Mack,Granite Dump,2022,,,
ORGANIZATION,Piedmont Ready Mix,1M2F29S3J0000159X,007,2017 Mack Granite Dump,Mack,Granite Dump,2017,,,
ORGANIZATION,Piedmont Ready Mix,1M2FLZ5PJG0001631,008,2020 Mack TerraPro Mixer,Mack,TerraPro Mixer,2020,,,
ORGANIZATION,Piedmont Ready Mix,1M2G4ZD2WC000157W,009,2016 Mack TerraPro Mixer,Mack,TerraPro Mixer,2016,,,
ORGANIZATION,Piedmont Ready Mix,1M2JGNZZ6E0001641,010,2018 Mack TerraPro Mixer,Mack,TerraPro Mixer,2018,,,
ORGANIZATION,Blue Stone Aggregate,1M2LEL6VEM000186V,004,2018 Mack Granite Dump,Mack,Granite Dump,2018,,,
ORGANIZATION,Union Grading,1M2XFKRG910002926,004,2023 Mack Granite Dump,Mack,Granite Dump,2023,,,
ORGANIZATION,Union Grading,1M2YM4HMY0000293X,005,2018 Mack Granite Heavy Haul,Mack,Granite Heavy Haul,2018,,,
ORGANIZATION,SE Delivery,1N43D0R3AN000222V,006,2013 Nissan Altima,Nissan,Altima,2013,,,
ORGANIZATION,Blue Ridge Landscaping,1N44HWC55K0001201,005,2023 Nissan Altima,Nissan,Altima,2023,,,
ORGANIZATION,SE Delivery,1N44WHGVH5000218L,007,2018 Nissan Altima,Nissan,Altima,2018,,,
INDIVIDUAL,Deborah Barnes,1N48X7RCPM0000363,000363,2013 Nissan Altima,Nissan,Altima,2013,,,
INDIVIDUAL,Kevin Thornton,1N494K7R18000010U,00010U,2011 Nissan Altima,Nissan,Altima,2011,,,
INDIVIDUAL,Marcus Patterson,1N4EXD0S32000002S,00002S,2023 Nissan Altima,Nissan,Altima,2023,,,
INDIVIDUAL,Carl Price,1N4KHAUZYA0000563,000563,2018 Nissan Altima,Nissan,Altima,2018,,,
ORGANIZATION,Carolina Concrete,1N4RYBYMJJ000095H,003,2013 Nissan Altima,Nissan,Altima,2013,,,
INDIVIDUAL,Sharon Powell,1N4UAJ5ZY0000039J,00039J,2015 Nissan Altima,Nissan,Altima,2015,,,
INDIVIDUAL,Virginia Henderson,1N4X2X13RX000060G,00060G,2019 Nissan Altima,Nissan,Altima,2019,,,
INDIVIDUAL,Sandra Reeves,1N4ZAUB3HY0000315,000315,2018 Nissan Altima,Nissan,Altima,2018,,,
ORGANIZATION,Carolinas Crane,1XK0YZ2SYY000227K,004,2012 Kenworth W990 Heavy Haul,Kenworth,W990 Heavy Haul,2012,,,
ORGANIZATION,LKN Propane,1XK25MVPS90002411,003,2024 Kenworth T880 Tanker,Kenworth,T880 Tanker,2024,,,
ORGANIZATION,Union Grading,1XK5URTBWN000288C,006,2020 Kenworth T880 Dump,Kenworth,T880 Dump,2020,,,
ORGANIZATION,Piedmont Metals,1XK81BAJ6E000283A,006,2013 Kenworth T680,Kenworth,T680,2013,,,
ORGANIZATION,Rowan Road Services,1XKL9LBL62000249L,005,2024 Kenworth T880 Dump,Kenworth,T880 Dump,2024,,,
ORGANIZATION,LKN Propane,1XKLE1VD2G0002445,004,2024 Kenworth T880 Tanker,Kenworth,T880 Tanker,2024,,,
ORGANIZATION,Piedmont Ready Mix,1XKLRT23WS0001684,011,2013 Kenworth T880 Mixer,Kenworth,T880 Mixer,2013,,,
ORGANIZATION,Piedmont Freight,1XKP2UY7YY000070E,006,2014 Kenworth T680,Kenworth,T680,2014,,,
ORGANIZATION,Carolina Concrete,1XKRA9G208000092F,004,2018 Kenworth T880 Mixer,Kenworth,T880 Mixer,2018,,,
ORGANIZATION,Blue Stone Aggregate,1XKSVJFFPB0001938,005,2014 Kenworth T880 Dump,Kenworth,T880 Dump,2014,,,
ORGANIZATION,Union Grading,1XKVKPUZZF000295K,007,2019 Kenworth T880 Dump,Kenworth,T880 Dump,2019,,,
ORGANIZATION,Carolinas Crane,1XKZ807U0A000229K,005,2018 Kenworth T880 Crane,Kenworth,T880 Crane,2018,,,
ORGANIZATION,Highland Moving,1XP61SBUV0000327C,003,2014 Peterbilt 579,Peterbilt,579,2014,,,
ORGANIZATION,Carolinas Crane,1XP78R1J7C000224V,006,2016 Peterbilt 567 Boom Truck,Peterbilt,567 Boom Truck,2016,,,
ORGANIZATION,Carolina Concrete,1XP8CU867T000101Y,005,2020 Peterbilt 567 Mixer,Peterbilt,567 Mixer,2020,,,
ORGANIZATION,Blue Stone Aggregate,1XP9D0PT34000192S,006,2020 Peterbilt 567 Dump,Peterbilt,567 Dump,2020,,,
ORGANIZATION,Piedmont Ready Mix,1XP9JX5CGV000160A,012,2023 Peterbilt 567 Mixer,Peterbilt,567 Mixer,2023,,,
ORGANIZATION,Carolina Concrete,1XPA6SNWAW0000914,006,2015 Peterbilt 567 Mixer,Peterbilt,567 Mixer,2015,,,
ORGANIZATION,Carolina Septic,1XPB375NJJ000305A,002,2013 Peterbilt 348 Vacuum,Peterbilt,348 Vacuum,2013,,,
ORGANIZATION,LKN Propane,1XPBELPWYY000238Z,005,2019 Peterbilt 348 Tanker,Peterbilt,348 Tanker,2019,,,
ORGANIZATION,Carolina Septic,1XPCMA2L2X0003021,003,2015 Peterbilt 348 Vacuum,Peterbilt,348 Vacuum,2015,,,
ORGANIZATION,Carolina Concrete,1XPCUMG1U1000097R,007,2019 Peterbilt 567 Dump,Peterbilt,567 Dump,2019,,,
ORGANIZATION,Union Grading,1XPDXW2T0J000286F,008,2023 Peterbilt 567 Heavy Haul,Peterbilt,567 Heavy Haul,2023,,,
ORGANIZATION,Piedmont Ready Mix,1XPFH4VM42000165G,013,2017 Peterbilt 567 Dump,Peterbilt,567 Dump,2017,,,
ORGANIZATION,Highland Moving,1XPFTRC98T000328M,004,2021 Peterbilt 579,Peterbilt,579,2021,,,
ORGANIZATION,Union Grading,1XPGTAXDJW000290L,009,2023 Peterbilt 567 Dump,Peterbilt,567 Dump,2023,,,
ORGANIZATION,Carolina Concrete,1XPLCTHFAY000089C,008,2013 Peterbilt 567 Dump,Peterbilt,567 Dump,2013,,,
ORGANIZATION,Carolina Septic,1XPNL1AAJF000301U,004,2024 Peterbilt 348 Vacuum,Peterbilt,348 Vacuum,2024,,,
ORGANIZATION,Piedmont Metals,1XPNXYBHHZ000275W,007,2012 Peterbilt 567 Dump,Peterbilt,567 Dump,2012,,,
ORGANIZATION,Blue Stone Aggregate,1XPPZMFD7E000195R,007,2017 Peterbilt 567 Dump,Peterbilt,567 Dump,2017,,,
ORGANIZATION,Piedmont Metals,1XPR8K8E790002812,008,2012 Peterbilt 579,Peterbilt,579,2012,,,
ORGANIZATION,Rowan Road Services,1XPRNUW7W10002542,006,2015 Peterbilt 567 Dump,Peterbilt,567 Dump,2015,,,
ORGANIZATION,QC Waste,1XPVJ6VSX1000114J,007,2021 Peterbilt 520 Refuse,Peterbilt,520 Refuse,2021,,,
ORGANIZATION,Rowan Road Services,1XPWBG8L07000257X,007,2014 Peterbilt 567 Dump,Peterbilt,567 Dump,2014,,,
ORGANIZATION,Carolina Concrete,1XPX08X6J00000987,009,2019 Peterbilt 567 Mixer,Peterbilt,567 Mixer,2019,,,
ORGANIZATION,Piedmont Freight,1XPXFX6JYS000081P,007,2012 Peterbilt 579,Peterbilt,579,2012,,,
ORGANIZATION,QC Waste,1XPXXKZ4TK000105G,008,2012 Peterbilt 520 Refuse,Peterbilt,520 Refuse,2012,,,
INDIVIDUAL,Anthony Bryant,2T37TC342E000021H,00021H,2014 Toyota RAV4,Toyota,RAV4,2014,,,
INDIVIDUAL,Derek Washington,2T3K03JJ7C0000061,000061,2023 Toyota RAV4,Toyota,RAV4,2023,,,
ORGANIZATION,Blue Ridge Landscaping,3AL1FRMSSA000124S,006,2013 Freightliner M2 106 Flatbed,Freightliner,M2 106 Flatbed,2013,,,
ORGANIZATION,Blue Stone Aggregate,3AL65U2BNA000189E,008,2012 Freightliner 114SD Dump,Freightliner,114SD Dump,2012,,,
ORGANIZATION,Blue Stone Aggregate,3AL6EADX8N000191D,009,2015 Freightliner 114SD Dump,Freightliner,114SD Dump,2015,,,
ORGANIZATION,Piedmont Freight,3AL7A0UVXR000082Z,008,2012 Freightliner M2 106 Flatbed,Freightliner,M2 106 Flatbed,2012,,,
ORGANIZATION,Carolina Septic,3AL8HT4JE5000299W,005,2024 Freightliner 114SD Vacuum,Freightliner,114SD Vacuum,2024,,,
ORGANIZATION,QC Waste,3AL8PNDGPD000112D,009,2018 Freightliner 114SD Dump,Freightliner,114SD Dump,2018,,,
ORGANIZATION,Piedmont Metals,3AL925X26R0002768,009,2013 Freightliner M2 106 Flatbed,Freightliner,M2 106 Flatbed,2013,,,
ORGANIZATION,Carolina Concrete,3AL97MRXKU000090H,010,2023 Freightliner 122SD Mixer,Freightliner,122SD Mixer,2023,,,
ORGANIZATION,QC Waste,3AL9EGCRD2000107S,010,2024 Freightliner 114SD Dump,Freightliner,114SD Dump,2024,,,
ORGANIZATION,Union Grading,3ALD3CHMT6000289D,010,2024 Freightliner 114SD Dump,Freightliner,114SD Dump,2024,,,
ORGANIZATION,Meck Tree,3ALEVCBLJ3000310S,005,2021 Freightliner M2 106 Chipper,Freightliner,M2 106 Chipper,2021,,,
ORGANIZATION,Rowan Road Services,3ALG8HBCLT000251F,008,2016 Freightliner 114SD Dump,Freightliner,114SD Dump,2016,,,
ORGANIZATION,QC Waste,3ALGFTW0HK000106Y,011,2017 Freightliner M2 106 Refuse,Freightliner,M2 106 Refuse,2017,,,
ORGANIZATION,Cabarrus Cleaning,3ALJJ2XEVR000205G,004,2018 Freightliner M2 106 Box,Freightliner,M2 106 Box,2018,,,
ORGANIZATION,Piedmont Metals,3ALL7SKJ2T0002746,010,2022 Freightliner M2 106 Flatbed,Freightliner,M2 106 Flatbed,2022,,,
ORGANIZATION,QC Waste,3ALM3LCW220001089,012,2013 Freightliner M2 106 Refuse,Freightliner,M2 106 Refuse,2013,,,
ORGANIZATION,Carolina Concrete,3ALR9DDE8N0000966,011,2015 Freightliner 114SD Dump,Freightliner,114SD Dump,2015,,,
ORGANIZATION,Piedmont Ready Mix,3ALRV2LTZ2000158X,014,2012 Freightliner 122SD Mixer,Freightliner,122SD Mixer,2012,,,
ORGANIZATION,Blue Ridge Landscaping,3ALTCW4GB3000119Y,007,2022 Freightliner M2 106 Flatbed,Freightliner,M2 106 Flatbed,2022,,,
ORGANIZATION,Meck Tree,3ALU8XKL2P0003094,006,2024 Freightliner M2 106 Chipper,Freightliner,M2 106 Chipper,2024,,,
ORGANIZATION,Carolina Septic,3ALUTMK9A2000304E,006,2015 Freightliner 114SD Vacuum,Freightliner,114SD Vacuum,2015,,,
ORGANIZATION,QC Waste,3ALVD6EFFS0001104,013,2017 Freightliner M2 106 Refuse,Freightliner,M2 106 Refuse,2017,,,
ORGANIZATION,SE Delivery,3ALWNMFE2M000216K,008,2018 Freightliner M2 106 Box,Freightliner,M2 106 Box,2018,,,
ORGANIZATION,Carolinas Crane,3ALYP7X0PW0002262,007,2017 Freightliner 114SD Crane,Freightliner,114SD Crane,2017,,,
ORGANIZATION,Highland Moving,3ALZ2L4KTM0003265,005,2024 Freightliner M2 106 Moving Van,Freightliner,M2 106 Moving Van,2024,,,
ORGANIZATION,Highland Moving,3C610DM9BM000329K,006,2018 Ram ProMaster 2500,Ram,ProMaster 2500,2018,,,
ORGANIZATION,Meck Plumbing,3C630BJ07Z000155B,006,2014 Ram ProMaster 2500,Ram,ProMaster 2500,2014,,,
ORGANIZATION,Meck Plumbing,3C67ND4CL4000151Y,007,2018 Ram ProMaster 2500,Ram,ProMaster 2500,2018,,,
ORGANIZATION,Carolina Power,3C68ZBX4VZ0001827,009,2016 Ram ProMaster 2500,Ram,ProMaster 2500,2016,,,
ORGANIZATION,Carolina Fresh,3C6BXHRATB000260W,004,2019 Ram ProMaster 2500,Ram,ProMaster 2500,2019,,,
ORGANIZATION,SE Delivery,3C6V8TB1BF000213D,009,2015 Ram ProMaster 2500,Ram,ProMaster 2500,2015,,,
ORGANIZATION,SE Delivery,3C6VLRLMXA0002090,010,2012 Ram ProMaster 2500,Ram,ProMaster 2500,2012,,,
ORGANIZATION,Meck Plumbing,3C6WVNEVRY000149J,008,2020 Ram ProMaster 2500,Ram,ProMaster 2500,2020,,,
ORGANIZATION,Rowan Road Services,3C7250YX1F0002472,009,2023 Ram 5500 Flatbed,Ram,5500 Flatbed,2023,,,
ORGANIZATION,Piedmont Freight,3C73UNE8VS000077F,009,2014 Ram 5500 Flatbed,Ram,5500 Flatbed,2014,,,
